,City,ID,State,height,weight
0,San Diego,1, CA,6.0,186.0
1,Fort Erie,3, ON,6.02,300.0
3,Los Angeles,7, CA,6.03,245.0
4,Mississauga,9, ON,6.04,289.0
5,Burnaby,11, BC,6.03,190.0
6,Beaumont,13, TX,5.08,182.0
7,Saskatoon,15, SK,6.05,299.0
8,Dania,17, FL,6.0,220.0
9,Scarborough,19, ON,6.05,290.0
10,San Pedro,21, CA,5.11,190.0
11,New Orleans,23, LA,6.02,285.0
13,Abbeville,27, MS,6.04,207.0
14,Selkirk,29, MB,5.1,190.0
15,East Los Angeles,31, CA,6.01,213.0
16,Vancouver,33, BC,5.11,185.0
17,Great Falls,35, MT,5.11,195.0
18,Kansas City,37, MO,5.1,180.0
19,Hampstead,39, NC,6.02,257.0
20,Sumter,41, SC,5.08,175.0
21,Beaumont,43, TX,6.0,310.0
22,West Helena,45, AR,6.04,345.0
23,Austin,47, TX,6.02,270.0
24,Essex,49, ON,6.03,288.0
25,Hamilton,51, ON,6.03,210.0
26,Kingston,53, JM,6.03,315.0
27,London,55, ON,6.04,310.0
28,Santa Monica,57, CA,6.01,193.0
29,Kelowna,59, BC,6.0,194.0
30,Regina,61, SK,6.02,218.0
31,Phoenix,63, AZ,6.01,191.0
32,Charlotte,65, NC,5.11,205.0
33,Bellmore,67, NY,6.02,200.0
34,Ottawa,69, ON,6.03,270.0
35,Houston,71, TX,6.02,195.0
36,Chicago,73, IL,6.01,208.0
37,Little Rock,75, AR,6.01,230.0
38,Tacoma,77, WA,6.0,200.0
39,London,79, ON,5.11,195.0
40,Abbotsford,81, BC,6.05,310.0
41,Hamilton,83, ON,6.01,210.0
42,London,85, ON,6.04,305.0
43,Saskatoon,87, SK,6.03,300.0
45,Spiro,91, OK,6.01,190.0
47,Shreveport,95, LA,6.03,270.0
48,St. Louis,97, MO,5.1,195.0
49,Niagara Falls,99, ON,5.08,195.0
51,Wellseley,103, MA,6.03,285.0
52,Buford,105, NC,6.01,230.0
53,Miami,107, FL,5.09,190.0
54,Toronto,109, ON,6.02,221.0
55,Seattle,111, WA,5.11,182.0
57,St. Laurent,115, QC,6.0,219.0
58,Toronto,117, ON,6.05,317.0
59,North Battleford,119, SK,6.04,296.0
61,Lagos,123, NG,6.04,258.0
63,Cleveland,127, OH,6.05,250.0
64,Baton Rouge,129, LA,6.03,230.0
65,Galveston,131, TX,6.02,223.0
66,Vancouver,133, BC,6.01,195.0
67,Quincy,135, IL,6.02,224.0
68,Kelowna,137, BC,6.0,275.0
69,New Westminster,139, BC,6.08,290.0
70,Cowansville,141, QC,6.04,295.0
71,Regina,143, SK,6.01,185.0
72,Oshawa,145, ON,6.07,305.0
73,Windsor,147, ON,6.05,302.0
74,Abbotsford,149, BC,6.01,240.0
75,Toronto,151, ON,6.04,255.0
76,Edmonton,153, AB,5.11,187.0
78,Winnipeg,157, MB,5.1,185.0
79,Johnstown,159, PA,5.08,165.0
80,Yonkers,161, NY,5.1,205.0
81,Saskatoon,163, SK,6.0,195.0
82,Mobile,165, AL,6.02,230.0
83,Richmond,167, VA,5.1,192.0
84,Washington,169, DC,5.09,190.0
86,Phoenix,173, AZ,5.1,205.0
87,Bellflower,175, CA,6.03,205.0
88,Memphis,177, TN,6.09,275.0
89,Montreal,179, QC,6.03,266.0
90,Ottawa,181, ON,6.05,285.0
91,Washington,183, DC,6.02,220.0
92,London,185, ON,6.02,195.0
94,Dundas,189, ON,6.04,270.0
95,Ottawa,191, ON,6.0,200.0
96,Regina,193, SK,6.04,296.0
97,Moose Jaw,195, SK,6.0,210.0
98,Richmond,197, BC,5.07,175.0
99,Medicine Hat,199, AB,6.03,292.0
100,Macon,201, MS,5.11,190.0
102,Regina,205, SK,6.04,247.0
103,Bradenton,207, FL,6.02,245.0
104,Johnstown,209, PA,6.0,198.0
105,Orange,211, TX,5.1,180.0
106,Washington,213, DC,6.02,225.0
107,Fort Wayne,215, IN,6.03,268.0
108,Toledo,217, OH,6.0,225.0
109,Danville,219, KY,5.07,165.0
110,New Orleans,221, LA,5.11,185.0
112,Seaside,225, CA,5.09,190.0
114,Waterloo,229, IA,6.0,206.0
115,Montgomery,231, AL,6.0,240.0
117,Fort Worth,235, TX,5.09,196.0
118,Chicoutimi,237, QC,6.0,204.0
119,Rutherford County,239, NC,6.06,315.0
120,Viking,241, AB,6.04,295.0
122,Winnipeg,245, MB,5.09,189.0
123,Stoney Creek,247, ON,5.11,205.0
124,Charlesborough,249, QC,6.04,305.0
125,Ottawa,251, ON,6.06,300.0
126,Toronto,253, ON,6.06,300.0
130,Montreal,261, QC,5.11,208.0
131,Ottawa,263, ON,6.01,240.0
132,Kelowna,265, BC,6.0,188.0
133,Tupelo,267, MS,6.01,236.0
